종목명,티커,보유 수량,현재가,평가금,통화
SOXL,SOXL,55.166866,231.6769,12780.89,USD
코히런트,COHR,1,380.155,380.15,USD
넷플릭스,NFLX,10,79.37,793.7,USD
ASML홀딩(ADR),ASML,0.166876,1867.4,311.62,USD
알파벳A,GOOGL,0.0667,360.6001,24.05,USD
SOXX,SOXX,1.059283,593.41,628.59,USD
마라톤페트롤리움,MPC,0.044986,265.75,11.96,USD
인텔,INTC,4.172938,121.9301,508.81,USD
시스코시스템즈,CSCO,0.154398,122.26,18.88,USD
TSMC(ADR),TSM,1.08519,421.86,457.8,USD
월마트,WMT,0.152196,120.08,18.28,USD
발레로에너지,VLO,0.035313,258.0154,9.11,USD
데이터독,DDOG,0.742959,235.8,175.19,USD
TQQQ,TQQQ,8,76.6399,613.12,USD
이튼,ETN,1,396.13,396.13,USD
HEWJ,HEWJ,3,62.575,187.73,USD
IBM,IBM,0.05811,271.12,15.75,USD
부킹홀딩스,BKNG,0.186525,162.5,30.31,USD
NVDU,NVDU,5,127.64,638.2,USD
팔란티어,PLTR,27,128.385,3466.39,USD
SK텔레콤(ADR),SKM,100,38.975,3897.5,USD
NVDX,NVDX,25,18.18,454.5,USD
텍사스인스트루먼츠,TXN,0.046781,299.89,14.03,USD
모건스탠리,MS,1.095152,214.82,235.26,USD
AIBU,AIBU,5,61.88,309.4,USD
엑슨모빌,XOM,0.094462,148.28,14.01,USD
코스트코,COST,0.014119,974.36,13.76,USD
킨더모건,KMI,0.846194,31.975,27.06,USD
SPY,SPY,0.179827,739.24,132.94,USD
NVDL,NVDL,9,95.71,861.39,USD
오메가헬스케어인베스터스,OHI,3,45.635,136.91,USD
몽고DB,MDB,4,350.83,1403.32,USD
엔비디아,NVDA,8.42007,205.455,1729.95,USD
놋오프쇼어파트너스,KNOP,12,10.47,125.64,USD
유니티그룹,UNIT,6,12.515,75.09,USD
비자,V,0.003638,323.41,1.18,USD
FCVT,FCVT,0.220168,52.305,11.52,USD
버크셔해서웨이B,BRK-B,0.023681,484.909,11.48,USD
버크셔해서웨이A,BRK-A,0.000015,728108.0,10.92,USD
테슬라,TSLA,33.711946,397.05,13385.33,USD
머크,MRK,0.093134,120.195,11.19,USD
마이크로소프트,MSFT,0.029152,384.12,11.2,USD
QQQ,QQQ,20.024813,718.625,14390.33,USD
페트로브라스(ADR),PBR,3.463375,18.29,63.35,USD
메트라이프,MET,0.11882,88.15,10.47,USD
알트리아그룹,MO,12,71.77,861.24,USD
존슨앤존슨,JNJ,0.042696,238.35,10.18,USD
애플,AAPL,3.85368,291.55,1123.54,USD
LRNZ,LRNZ,2,59.56,119.12,USD
뱅크오브아메리카,BAC,2,55.49,110.98,USD
코카콜라,KO,0.120619,82.115,9.9,USD
XSW,XSW,0.059873,164.87,9.87,USD
파가야테크놀로지스,PGY,10,15.19,151.9,USD
GCC,GCC,5,23.97,119.85,USD
페트로브라스우선주(ADR),PBR-A,60,16.271,976.26,USD
코노코필립스,COP,0.083165,117.03,9.73,USD
아이온큐,IONQ,14.279434,58.2522,831.81,USD
오픈도어테크놀로지스,OPEN,10,4.445,44.45,USD
OILK,OILK,2,54.685,109.37,USD
시그나그룹,CI,0.031614,295.805,9.35,USD
AT&T,T,1,23.235,23.23,USD
EWZ,EWZ,2,35.04,70.08,USD
EOG리소시스,EOG,0.006776,137.935,0.93,USD
그랩홀딩스,GRAB,1,3.2942,3.29,USD
사이먼프로퍼티그룹,SPG,10,218.805,2188.05,USD
TSLL,TSLL,7,13.0099,91.07,USD
로우스,LOW,0.039652,220.275,8.73,USD
애브비,ABBV,10.050081,225.725,2268.55,USD
GPIQ,GPIQ,10,57.804,578.04,USD
SVXY,SVXY,1,54.04,54.04,USD
COMT,COMT,3,32.9,98.7,USD
듀크에너지,DUK,0.068688,125.2104,8.6,USD
스타벅스,SBUX,3.031458,102.805,311.65,USD
FTGC,FTGC,2,27.935,55.87,USD
옥시덴탈페트롤리움,OXY,1,56.7,56.7,USD
